date,export,import,diff
2013-09-01,"₩44,650,486 ","₩41,055,405 ","₩3,595,081 "
2013-10-01,"₩50,480,484 ","₩45,604,963 ","₩4,875,521 "
2013-11-01,"₩47,905,028 ","₩43,106,074 ","₩4,798,954 "
2013-12-01,"₩47,981,456 ","₩44,351,186 ","₩3,630,270 "
2014-01-01,"₩45,559,632 ","₩44,746,013 ","₩813,619 "
2014-02-01,"₩42,911,735 ","₩42,061,554 ","₩850,181 "
2014-03-01,"₩49,064,392 ","₩45,558,675 ","₩3,505,717 "
2014-04-01,"₩50,267,448 ","₩45,873,333 ","₩4,394,115 "
2014-05-01,"₩47,577,183 ","₩42,607,483 ","₩4,969,700 "
2014-06-01,"₩47,827,709 ","₩42,476,381 ","₩5,351,328 "
2014-07-01,"₩48,204,545 ","₩45,863,916 ","₩2,340,629 "
2014-08-01,"₩46,108,370 ","₩42,791,869 ","₩3,316,501 "
2014-09-01,"₩47,446,217 ","₩44,184,712 ","₩3,261,505 "
2014-10-01,"₩51,630,657 ","₩44,097,421 ","₩7,533,236 "
2014-11-01,"₩46,605,342 ","₩41,343,254 ","₩5,262,088 "
2014-12-01,"₩49,461,377 ","₩43,909,896 ","₩5,551,481 "
2015-01-01,"₩45,105,389 ","₩39,283,025 ","₩5,822,364 "
2015-02-01,"₩41,472,191 ","₩33,998,316 ","₩7,473,875 "
2015-03-01,"₩46,822,771 ","₩38,485,935 ","₩8,336,836 "
2015-04-01,"₩46,221,931 ","₩37,858,798 ","₩8,363,133 "
2015-05-01,"₩42,327,311 ","₩36,039,800 ","₩6,287,511 "
2015-06-01,"₩46,554,512 ","₩36,598,398 ","₩9,956,114 "
2015-07-01,"₩45,695,747 ","₩38,647,067 ","₩7,048,680 "
2015-08-01,"₩39,107,399 ","₩34,772,163 ","₩4,335,236 "
2015-09-01,"₩43,432,312 ","₩34,540,504 ","₩8,891,808 "
2015-10-01,"₩43,352,046 ","₩36,762,975 ","₩6,589,071 "
2015-11-01,"₩44,285,052 ","₩34,049,682 ","₩10,235,370 "
2015-12-01,"₩42,379,843 ","₩35,462,311 ","₩6,917,532 "
2016-01-01,"₩36,260,420 ","₩31,321,901 ","₩4,938,519 "
2016-02-01,"₩35,924,541 ","₩29,163,323 ","₩6,761,218 "
2016-03-01,"₩43,002,468 ","₩33,344,423 ","₩9,658,045 "
2016-04-01,"₩41,081,553 ","₩32,388,783 ","₩8,692,770 "
2016-05-01,"₩39,733,794 ","₩33,025,444 ","₩6,708,350 "
2016-06-01,"₩45,209,071 ","₩33,890,231 ","₩11,318,840 "
2016-07-01,"₩40,881,700 ","₩33,371,802 ","₩7,509,898 "
2016-08-01,"₩40,124,791 ","₩35,103,611 ","₩5,021,180 "
2016-09-01,"₩40,846,252 ","₩33,988,443 ","₩6,857,809 "
2016-10-01,"₩41,983,329 ","₩35,050,112 ","₩6,933,217 "
2016-11-01,"₩45,309,141 ","₩37,240,858 ","₩8,068,283 "
2016-12-01,"₩45,068,880 ","₩38,303,957 ","₩6,764,923 "
2017-01-01,"₩40,257,000 ","₩37,645,403 ","₩2,611,597 "
2017-02-01,"₩43,166,536 ","₩36,203,282 ","₩6,963,254 "
2017-03-01,"₩48,637,832 ","₩42,579,492 ","₩6,058,340 "
2017-04-01,"₩50,843,799 ","₩37,959,391 ","₩12,884,408 "
2017-05-01,"₩44,926,979 ","₩39,287,764 ","₩5,639,215 "
2017-06-01,"₩51,272,452 ","₩40,551,012 ","₩10,721,440 "
2017-07-01,"₩48,830,440 ","₩38,607,157 ","₩10,223,283 "
2017-08-01,"₩47,105,569 ","₩40,549,772 ","₩6,555,797 "
2017-09-01,"₩55,115,240 ","₩41,695,884 ","₩13,419,356 "
2017-10-01,"₩44,791,239 ","₩37,856,562 ","₩6,934,677 "
2017-11-01,"₩49,707,197 ","₩42,013,512 ","₩7,693,685 "
2017-12-01,"₩49,040,139 ","₩43,529,066 ","₩5,511,073 "
2018-01-01,"₩49,221,291 ","₩45,805,322 ","₩3,415,969 "
2018-02-01,"₩44,523,530 ","₩41,722,154 ","₩2,801,376 "
2018-03-01,"₩51,309,932 ","₩44,897,838 ","₩6,412,094 "
2018-04-01,"₩49,850,235 ","₩43,693,963 ","₩6,156,272 "
2018-05-01,"₩50,687,750 ","₩44,458,729 ","₩6,229,021 "
2018-06-01,"₩51,079,375 ","₩45,000,164 ","₩6,079,211 "
2018-07-01,"₩51,810,255 ","₩44,917,044 ","₩6,893,211 "
2018-08-01,"₩51,180,449 ","₩44,360,778 ","₩6,819,671 "
2018-09-01,"₩50,650,208 ","₩41,032,928 ","₩9,617,280 "
2018-10-01,"₩54,860,310 ","₩48,480,618 ","₩6,379,692 "
2018-11-01,"₩51,479,530 ","₩46,808,199 ","₩4,671,331 "
2018-12-01,"₩48,206,793 ","₩44,024,694 ","₩4,182,099 "
