Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap
2009-06-08,1394.23,1411.27,1387.41,1393.3,516708199,-0.001,2,-1.41,5442691173710,724245718357505
2009-06-09,1406.66,1410.0,1371.52,1371.84,485670605,-0.0154,2,-21.46,5916610296538,713263637979190
2009-06-10,1379.61,1414.88,1376.46,1414.88,501867204,0.031400000000000004,1,43.04,6067326901798,735426730396680
2009-06-11,1411.92,1435.28,1407.5,1419.39,490783811,0.0032,1,4.51,7040361452022,737859353971065
2009-06-12,1428.87,1436.23,1416.5,1428.59,508570947,0.006500000000000001,1,9.2,5358263320313,742977642713095
2009-06-15,1427.75,1427.75,1401.19,1412.42,434553658,-0.0113,2,-16.17,4985137331228,734782672904650
2009-06-16,1394.7,1410.01,1389.33,1399.15,473881403,-0.009399999999999999,2,-13.27,4608363230145,727851534514920
2009-06-17,1391.97,1397.21,1384.13,1391.17,456091122,-0.005699999999999999,2,-7.98,4639365890619,723974974550755
2009-06-18,1390.22,1396.75,1371.38,1375.76,502154131,-0.0111,2,-15.41,4539042825591,715959792087820
2009-06-19,1386.52,1388.75,1369.76,1383.34,471006406,0.0055000000000000005,1,7.58,4333949516889,720042605450665
2009-06-22,1381.85,1399.92,1379.75,1399.71,410177524,0.0118,1,16.37,4314990474642,728572219569805
2009-06-23,1369.87,1374.44,1354.98,1360.54,509170128,-0.027999999999999997,2,-39.17,5025013760948,704612047577730
2009-06-24,1366.01,1370.0,1350.31,1363.79,436479369,0.0024,1,3.25,4581788063327,706270276353320
2009-06-25,1366.78,1402.35,1366.78,1392.73,449173813,0.0212,1,28.94,5231753653320,721449314265690
2009-06-26,1401.57,1404.01,1388.38,1394.53,425874377,0.0013,1,1.8,4823897835070,722525577928605
2009-06-29,1399.64,1408.94,1386.03,1388.45,426317516,-0.0044,2,-6.08,4040765019915,719297664559275
2009-06-30,1402.3,1409.1,1385.76,1390.07,473132140,0.0012,1,1.62,4815561731004,720211903210490
2009-07-01,1386.33,1414.79,1381.09,1411.66,505528204,0.0155,1,21.59,5214688865632,731195051560830
2009-07-02,1419.15,1419.15,1403.18,1411.48,464119291,-0.0001,2,-0.18,4756159428298,731194913302695
2009-07-03,1389.93,1420.04,1389.39,1420.04,398642577,0.0060999999999999995,1,8.56,4131633159510,735554726363875
2009-07-06,1419.17,1434.31,1416.2,1428.94,384595425,0.0063,1,8.9,4578325271367,740571307176180
2009-07-07,1434.47,1439.57,1426.95,1434.2,456757675,0.0037,1,5.26,5047763744560,743436837305265
2009-07-08,1424.92,1431.02,1412.68,1431.02,435416867,-0.0022,2,-3.18,5082494846624,741691724986715
2009-07-09,1428.74,1443.81,1426.41,1430.89,437278240,-0.0001,2,-0.13,5712932777140,741765276492755
2009-07-10,1435.52,1436.5,1415.99,1428.62,456473123,-0.0016,2,-2.27,4729725397702,741012304651815
2009-07-13,1426.31,1426.31,1378.12,1378.12,446682250,-0.0353,2,-50.5,5016392178935,715037363003200
2009-07-14,1400.53,1402.0,1377.6,1385.56,426814414,0.0054,1,7.44,5021897605024,719067308921655
2009-07-15,1402.76,1422.41,1402.28,1420.86,398394985,0.0255,1,35.3,5279847824496,737504160054080
2009-07-16,1438.02,1442.1,1426.51,1432.22,423962074,0.008,1,11.36,5538955647937,743794300600920
2009-07-17,1443.49,1445.6,1432.8,1440.1,403676531,0.0055000000000000005,1,7.88,4528026284918,747892684360805
2009-07-20,1447.85,1480.49,1447.11,1478.51,505042538,0.026699999999999998,1,38.41,6270004690000,767775464877030
2009-07-21,1489.45,1496.87,1480.64,1488.99,514660084,0.0070999999999999995,1,10.48,6722693203682,773562938756330
2009-07-22,1492.37,1496.49,1485.04,1494.04,506893724,0.0034000000000000002,1,5.05,6074653625890,776463648505685
2009-07-23,1495.39,1504.7,1484.83,1496.49,642853322,0.0016,1,2.45,6694779406741,777804720382505
2009-07-24,1508.32,1510.82,1496.89,1502.59,533011939,0.0040999999999999995,1,6.1,6451428629386,780411111058650
2009-07-27,1510.75,1529.26,1505.85,1524.05,504075200,0.0143,1,21.46,6896269470606,791525728658605
2009-07-28,1521.49,1528.55,1518.5,1526.03,431427212,0.0013,1,1.98,5593914664913,792323225389615
2009-07-29,1524.08,1529.8,1516.03,1524.32,486409718,-0.0011,2,-1.71,6196530609330,791495163264740
2009-07-30,1524.56,1535.36,1511.13,1534.74,431268645,0.0068000000000000005,1,10.42,5567755687200,796778812820110
2009-07-31,1543.05,1559.07,1536.86,1557.29,466525906,0.0147,1,22.55,7345684524811,808503556086295
2009-08-03,1561.94,1570.01,1554.77,1564.98,490193845,0.0049,1,7.69,6909524639662,813421016126175
2009-08-04,1576.95,1586.12,1558.47,1566.37,589855016,0.0009,1,1.39,8236678426473,814246662510650
2009-08-05,1571.71,1575.03,1557.79,1559.47,494912992,-0.0044,2,-6.9,6058886096462,810488508664205
2009-08-06,1555.64,1572.17,1546.5,1565.04,492249879,0.0036,1,5.57,6133405057950,813531016846490
2009-08-07,1563.13,1576.8,1559.18,1576.0,477559443,0.006999999999999999,1,10.96,5720994966438,819038421965820
2009-08-10,1585.35,1588.15,1573.22,1576.11,490582922,0.0001,1,0.11,5693517523380,818995290215355
2009-08-11,1572.33,1580.44,1570.51,1579.21,573986725,0.002,1,3.1,6346613667195,820633118776750
2009-08-12,1571.74,1571.74,1552.51,1565.35,510512424,-0.0088,2,-13.86,6693354309114,813453335151355
2009-08-13,1578.95,1581.34,1564.64,1564.64,562763781,-0.0005,2,-0.71,7669336123880,813247978476330
2009-08-14,1582.21,1594.46,1579.17,1591.41,606500452,0.0171,1,26.77,6834913182104,827235321276710
2009-08-17,1588.73,1588.73,1541.74,1547.06,594931028,-0.0279,2,-44.35,6825536190330,804400895844465
2009-08-18,1534.22,1560.73,1530.65,1550.24,598313654,0.0021,1,3.18,6510241772429,806791156747555
2009-08-19,1555.03,1564.9,1545.93,1545.96,521615373,-0.0028000000000000004,2,-4.28,6782982349847,804881045384035
2009-08-20,1559.99,1577.08,1544.5,1576.39,454917942,0.0197,1,30.43,6225800615350,820406269462460
2009-08-21,1582.61,1590.15,1564.45,1580.98,514683208,0.0029,1,4.59,8161032081857,823088891546250
2009-08-24,1604.31,1614.05,1602.34,1612.22,541262639,0.019799999999999998,1,31.24,8857554605468,839793076044940
2009-08-25,1603.03,1610.33,1596.0,1601.38,461069173,-0.0067,2,-10.84,7656154765669,834486663720035
2009-08-26,1607.7,1615.05,1602.4,1614.12,451615784,0.008,1,12.74,6422886606180,840583640779330
2009-08-27,1608.83,1614.07,1590.98,1599.33,426333985,-0.0092,2,-14.79,6231234962634,832751185603675
2009-08-28,1612.93,1616.29,1599.68,1607.94,455462279,0.0054,1,8.61,7461053109130,837518164095005
2009-08-31,1607.61,1611.65,1580.28,1591.85,443613120,-0.01,2,-16.09,6520150409919,829731246261425
2009-09-01,1592.29,1624.34,1583.11,1623.06,444448815,0.0196,1,31.21,7107529699062,845971669202290
2009-09-02,1598.66,1622.82,1592.48,1613.16,561693060,-0.0060999999999999995,2,-9.9,8032313988490,840637545673240
2009-09-03,1614.53,1620.06,1605.96,1613.53,493292164,0.0002,1,0.37,7119959317046,840272799901910
2009-09-04,1623.07,1623.07,1597.2,1608.9,594778775,-0.0029,2,-4.63,7132793302172,839362061769290
2009-09-07,1618.79,1619.98,1601.04,1608.57,411219179,-0.0002,2,-0.33,5819831722418,839426572868560
2009-09-08,1616.48,1622.73,1610.91,1619.69,523925716,0.0069,1,11.12,7474012128461,844986397202640
2009-09-09,1622.25,1622.81,1602.69,1607.77,518366903,-0.0074,2,-11.92,7543712209340,838676321422450
2009-09-10,1615.71,1644.68,1613.76,1644.68,581051083,0.023,1,36.91,9086360603382,857668564814270
2009-09-11,1644.31,1653.77,1639.83,1651.7,514657325,0.0043,1,7.02,7613934715461,861574408922435
2009-09-14,1653.17,1653.59,1628.96,1634.91,432398242,-0.0102,2,-16.79,6792353920429,852938696551760
2009-09-15,1646.29,1654.92,1640.87,1653.4,550449607,0.0113,1,18.49,7568674854644,862535102266755
2009-09-16,1660.43,1693.84,1660.43,1683.33,568410219,0.0181,1,29.93,8873741278122,878034760556095
2009-09-17,1700.19,1704.88,1682.04,1695.47,527873720,0.0072,1,12.14,9147537334523,884328256112190
2009-09-18,1695.17,1713.22,1691.64,1699.71,500095413,0.0025,1,4.24,8763489327709,886270123178245
2009-09-21,1700.56,1709.34,1691.92,1695.5,517256720,-0.0025,2,-4.21,5523352246030,884010598099630
2009-09-22,1701.96,1720.73,1701.57,1718.88,448385657,0.0138,1,23.38,6995190002501,896217325422455
2009-09-23,1723.03,1723.17,1705.98,1711.47,503233359,-0.0043,2,-7.41,7678959009147,892532909138290
2009-09-24,1706.19,1715.55,1680.96,1693.88,421172282,-0.0103,2,-17.59,7594658126195,883511171984325
2009-09-25,1686.41,1691.71,1662.52,1691.48,391939717,-0.0014000000000000002,2,-2.4,7551953245799,882271378823955
2009-09-28,1678.57,1685.34,1668.97,1675.55,351375969,-0.009399999999999999,2,-15.93,6553290275260,874000530481860
2009-09-29,1695.94,1696.71,1680.69,1690.05,343691877,0.0087,1,14.5,6766271598315,881689901677660
2009-09-30,1688.6,1704.24,1665.9,1673.14,369850238,-0.01,2,-16.91,7960459888915,872915510392335
2009-10-01,1680.46,1685.01,1629.55,1644.63,337358350,-0.017,2,-28.51,7024530973859,857703556325580
2009-10-05,1622.1,1629.01,1603.71,1606.9,318999741,-0.0229,2,-37.73,7103118102281,838510714619000
2009-10-06,1620.31,1626.02,1590.47,1598.44,390392550,-0.0053,2,-8.46,6227937341099,833958915867920
2009-10-07,1619.07,1625.11,1598.0,1598.0,411268651,-0.0003,2,-0.44,6718950457359,833264891997880
2009-10-08,1607.86,1615.46,1591.15,1615.46,377006514,0.0109,1,17.46,6693931409014,843929706851010
2009-10-09,1622.12,1648.98,1614.61,1646.79,440504920,0.0194,1,31.33,6005992820266,860204989785075
2009-10-12,1660.19,1661.37,1631.59,1639.81,413658491,-0.0042,2,-6.98,4841306353205,856712646795000
2009-10-13,1634.49,1642.78,1614.46,1628.93,420335159,-0.0066,2,-10.88,5414108294749,851266008875395
2009-10-14,1642.1,1653.22,1637.78,1649.09,412055730,0.0124,1,20.16,5113996651641,861950840116940
2009-10-15,1661.69,1672.08,1653.33,1658.99,374175114,0.006,1,9.9,5950118710450,866994744199010
2009-10-16,1656.07,1667.49,1638.49,1640.36,372952071,-0.011200000000000002,2,-18.63,5838359140540,857098689884050
2009-10-19,1633.34,1649.69,1614.85,1649.07,279879555,0.0053,1,8.71,4902443188324,863367076122255
2009-10-20,1663.95,1665.65,1649.27,1659.15,402306493,0.0060999999999999995,1,10.08,4837859714822,868604922101080
2009-10-21,1649.81,1664.52,1645.56,1653.86,366290079,-0.0032,2,-5.29,5295318933976,866031050545485
2009-10-22,1638.01,1650.03,1623.96,1630.33,386905011,-0.014199999999999999,2,-23.53,4931053619414,853850082622395
2009-10-23,1643.62,1647.27,1633.11,1640.17,331326509,0.006,1,9.84,4950872512370,859238865507465
2009-10-26,1634.33,1663.03,1633.92,1657.11,314207735,0.0103,1,16.94,4769976701355,867998317243735
2009-10-27,1646.76,1651.63,1637.15,1649.53,334695680,-0.0046,2,-7.58,5147974153895,864152941854490
2009-10-28,1648.8,1652.46,1604.01,1609.71,370004164,-0.0241,2,-39.82,5465163147654,843528621275310
2009-10-29,1584.52,1587.19,1564.41,1585.85,372461088,-0.0148,2,-23.86,5708790469208,831325134614870
2009-10-30,1605.12,1605.12,1580.69,1580.69,272706161,-0.0033,2,-5.16,4830826499560,828748895040715
2009-11-02,1543.24,1570.15,1543.24,1559.09,289875370,-0.0137,2,-21.6,4408359909875,817190240902445
2009-11-03,1562.1,1565.01,1549.1,1549.92,274472764,-0.0059,2,-9.17,3638963156798,812299901324875
2009-11-04,1556.02,1579.93,1550.73,1579.93,267395827,0.0194,1,30.01,3782343429043,827883940910920
2009-11-05,1568.67,1571.8,1551.94,1552.24,204375269,-0.0175,2,-27.69,3368233158735,813533311296120
2009-11-06,1577.64,1577.64,1565.48,1572.46,254308226,0.013000000000000001,1,20.22,3701173349505,823974026785920
2009-11-09,1577.92,1592.1,1573.36,1576.79,246232995,0.0028000000000000004,1,4.33,3502744589725,826398697858920
2009-11-10,1595.33,1600.41,1580.03,1582.3,276940086,0.0034999999999999996,1,5.51,3893466405735,829247730506555
2009-11-11,1590.44,1594.82,1574.78,1594.82,263272865,0.0079,1,12.52,3251698590546,837877479973675
